model, entity URI, belief
human, http://human.owl#NCI_C12236, 6
human, http://human.owl#NCI_C12744, 12
human, http://human.owl#NCI_C32088, 25
human, http://human.owl#NCI_C33523, 4
human, http://human.owl#NCI_C52941, 77
human, http://human.owl#NCI_C12519, 21
human, http://human.owl#NCI_C49277, 5
human, http://human.owl#NCI_C33051, 5
human, http://human.owl#NCI_C53152, 108
human, http://human.owl#NCI_C13049, 35
human, http://human.owl#NCI_C12331, 14
human, http://human.owl#NCI_C49792, 12
human, http://human.owl#NCI_C52667, 3
human, http://human.owl#NCI_C32198, 9
human, http://human.owl#NCI_C12269, 84
human, http://human.owl#NCI_C12826, 77
human, http://human.owl#NCI_C33602, 15
human, http://human.owl#NCI_C12347, 73
human, http://human.owl#NCI_C33712, 24
human, http://human.owl#NCI_C33865, 3
human, http://human.owl#NCI_C13022, 34
human, http://human.owl#NCI_C12457, 153
human, http://human.owl#NCI_C33692, 153
human, http://human.owl#NCI_C32202, 84
human, http://human.owl#NCI_C32397, 33
human, http://human.owl#NCI_C33233, 8
human, http://human.owl#NCI_C33480, 5
human, http://human.owl#NCI_C33516, 24
human, http://human.owl#NCI_C33343, 24
human, http://human.owl#NCI_C33030, 12
human, http://human.owl#NCI_C33496, 153
human, http://human.owl#NCI_C43220, 7
human, http://human.owl#NCI_C32306, 4
human, http://human.owl#NCI_C33823, 31
human, http://human.owl#NCI_C33140, 32
human, http://human.owl#NCI_C12646, 6
human, http://human.owl#NCI_C49304, 12
human, http://human.owl#NCI_C13191, 42
human, http://human.owl#NCI_C32631, 84
human, http://human.owl#NCI_C52794, 8
human, http://human.owl#NCI_C38330, 19
human, http://human.owl#NCI_C32350, 61
human, http://human.owl#NCI_C49263, 29
human, http://human.owl#NCI_C32569, 77
human, http://human.owl#NCI_C32645, 31
human, http://human.owl#NCI_C33419, 33
human, http://human.owl#NCI_C12812, 16
human, http://human.owl#NCI_C34006, 4
human, http://human.owl#NCI_C12861, 13
human, http://human.owl#NCI_C12799, 41
human, http://human.owl#NCI_C33529, 31
human, http://human.owl#NCI_C52947, 77
human, http://human.owl#NCI_C33043, 40
human, http://human.owl#NCI_C33795, 10
human, http://human.owl#NCI_C33336, 8
human, http://human.owl#NCI_C12372, 169
human, http://www.geneontology.org/formats/oboInOwl#Synonym, 1
human, http://human.owl#NCI_C33643, 79
human, http://human.owl#NCI_C12708, 7
human, http://human.owl#NCI_C28351, 74
human, http://human.owl#NCI_C12240, 50
human, http://human.owl#NCI_C32866, 5
human, http://human.owl#NCI_C33704, 14
human, http://human.owl#NCI_C32937, 15
human, http://human.owl#NCI_C12254, 41
human, http://human.owl#NCI_C33196, 16
human, http://human.owl#NCI_C38323, 13
human, http://human.owl#NCI_C33753, 15
human, http://human.owl#NCI_C41442, 5
human, http://human.owl#NCI_C32465, 27
human, http://human.owl#NCI_C12752, 23
human, http://human.owl#NCI_C39686, 18
human, http://human.owl#NCI_C32208, 38
human, http://human.owl#NCI_C13077, 31
human, http://human.owl#NCI_C33239, 44
human, http://human.owl#NCI_C12632, 8
human, http://human.owl#NCI_C52780, 9
human, http://human.owl#NCI_C41834, 6
human, http://human.owl#NCI_C33349, 9
human, http://human.owl#NCI_C49190, 13
human, http://human.owl#NCI_C12915, 6
human, http://human.owl#NCI_C52555, 10
human, http://human.owl#NCI_C52890, 6
human, http://human.owl#NCI_C33829, 41
human, http://human.owl#NCI_C33656, 153
human, http://www.geneontology.org/formats/oboInOwl#Definition, 1
human, http://human.owl#NCI_C13252, 25
human, http://human.owl#NCI_C32828, 25
human, http://human.owl#NCI_C49313, 31
human, http://human.owl#NCI_C12475, 26
human, http://human.owl#NCI_C49269, 32
human, http://human.owl#NCI_C33251, 9
human, http://human.owl#NCI_C32686, 10
human, http://human.owl#NCI_C52725, 4
human, http://human.owl#NCI_C38629, 16
human, http://human.owl#NCI_C32923, 6
human, http://human.owl#NCI_C12853, 12
human, http://human.owl#NCI_C33361, 12
human, http://human.owl#NCI_C12867, 29
human, http://human.owl#NCI_C32852, 4
human, http://human.owl#NCI_C32571, 8
human, http://human.owl#NCI_C13155, 14
human, http://human.owl#NCI_C33404, 61
human, http://human.owl#NCI_C12569, 7
human, http://human.owl#NCI_C33098, 4
human, http://human.owl#NCI_C32314, 7
human, http://human.owl#NCI_C52829, 4
human, http://human.owl#NCI_C49227, 4
human, http://human.owl#NCI_C32609, 4
human, http://human.owl#NCI_C32840, 5
human, http://human.owl#NCI_C12378, 14
human, http://human.owl#NCI_C33892, 13
human, http://human.owl#NCI_C49788, 16
human, http://human.owl#NCI_C32082, 18
human, http://human.owl#NCI_C32243, 9
human, http://human.owl#NCI_C33649, 25
human, http://human.owl#NCI_C41165, 14
human, http://human.owl#NCI_C43615, 9
human, http://human.owl#NCI_C32192, 19
human, http://human.owl#NCI_C12295, 16
human, http://human.owl#NCI_C33759, 153
human, http://human.owl#NCI_C33071, 14
human, http://human.owl#NCI_C41448, 6
human, http://human.owl#NCI_C13069, 74
human, http://human.owl#NCI_C33127, 6
human, http://human.owl#NCI_C12351, 155
human, http://human.owl#NCI_C33815, 4
human, http://human.owl#NCI_C53037, 7
human, http://human.owl#NCI_C32743, 10
human, http://human.owl#NCI_C12846, 8
human, http://human.owl#NCI_C12673, 11
human, http://human.owl#NCI_C12687, 82
human, http://human.owl#NCI_C12461, 153
human, http://human.owl#NCI_C52786, 9
human, http://human.owl#NCI_C33925, 12
human, http://human.owl#NCI_C12956, 74
human, http://human.owl#NCI_C52711, 32
human, http://human.owl#NCI_C32415, 14
human, http://human.owl#NCI_C33732, 31
human, http://human.owl#NCI_C41406, 47
human, http://human.owl#NCI_C32429, 29
human, http://human.owl#NCI_C32955, 4
human, http://human.owl#NCI_C48824, 41
human, http://human.owl#NCI_C25444, 22
human, http://human.owl#NCI_C33510, 7
human, http://human.owl#NCI_C52744, 77
human, http://human.owl#NCI_C32185, 15
human, http://human.owl#NCI_C12859, 10
human, http://human.owl#NCI_C33635, 25
human, http://human.owl#NCI_C32563, 25
human, http://human.owl#NCI_C33684, 6
human, http://human.owl#NCI_C32858, 96
human, http://human.owl#NCI_C12281, 18
human, http://human.owl#NCI_C33445, 14
human, http://human.owl#NCI_C33745, 8
human, http://human.owl#NCI_C52946, 108
human, http://human.owl#NCI_C12444, 153
human, http://human.owl#NCI_C32492, 31
human, http://human.owl#NCI_C32846, 82
human, http://human.owl#NCI_C33794, 31
human, http://human.owl#NCI_C32408, 4
human, http://human.owl#NCI_C32235, 4
human, http://human.owl#NCI_C12817, 96
human, http://human.owl#NCI_C32249, 153
human, http://human.owl#NCI_C32775, 5
human, http://human.owl#NCI_C52814, 20
human, http://human.owl#NCI_C49212, 7
human, http://human.owl#NCI_C25264, 19
human, http://human.owl#NCI_C32518, 5
human, http://human.owl#NCI_C33330, 4
human, http://human.owl#NCI_C33549, 4
human, http://human.owl#NCI_C33077, 60
human, http://human.owl#NCI_C33856, 16
human, http://human.owl#NCI_C33002, 84
human, http://human.owl#NCI_C33173, 6
human, http://human.owl#NCI_C33593, 61
human, http://human.owl#NCI_C33697, 103
human, http://human.owl#NCI_C33187, 153
human, http://human.owl#NCI_C32798, 18
human, http://human.owl#NCI_C34023, 65
human, http://human.owl#NCI_C52837, 8
human, http://human.owl#NCI_C33966, 220
human, http://human.owl#NCI_C32383, 3
human, http://human.owl#NCI_C32678, 4
human, http://human.owl#NCI_C33800, 27
human, http://human.owl#NCI_C12259, 84
human, http://human.owl#NCI_C32171, 24
human, http://human.owl#NCI_C52717, 4
human, http://human.owl#NCI_C33035, 12
human, http://human.owl#NCI_C41058, 7
human, http://human.owl#NCI_C33502, 7
human, http://human.owl#NCI_C32964, 5
human, http://human.owl#NCI_C12894, 27
human, http://human.owl#NCI_C12637, 4
human, http://human.owl#NCI_C33298, 63
human, http://human.owl#NCI_C32341, 14
human, http://human.owl#NCI_C12691, 6
human, http://human.owl#NCI_C48943, 4
human, http://human.owl#NCI_C32636, 17
human, http://human.owl#NCI_C32832, 10
human, http://human.owl#NCI_C53045, 96
human, http://human.owl#NCI_C32116, 14
human, http://human.owl#NCI_C13465, 4
human, http://human.owl#NCI_C12540, 4
human, http://human.owl#NCI_C33676, 6
human, http://human.owl#NCI_C32680, 4
human, http://human.owl#NCI_C32899, 7
human, http://human.owl#NCI_C52938, 77
human, http://human.owl#NCI_C33454, 40
human, http://human.owl#NCI_C33786, 5
human, http://human.owl#NCI_C53149, 108
human, http://human.owl#NCI_C12785, 15
human, http://human.owl#NCI_C52992, 4
human, http://human.owl#NCI_C12573, 16
human, http://human.owl#NCI_C12594, 4
human, http://human.owl#NCI_C33564, 13
human, http://human.owl#NCI_C38466, 24
human, http://human.owl#NCI_C32078, 33
human, http://human.owl#NCI_C32784, 153
human, http://human.owl#NCI_C12887, 40
human, http://human.owl#NCI_C49218, 31
human, http://human.owl#NCI_C32527, 62
human, http://www.geneontology.org/formats/oboInOwl#SynonymType, 1
human, http://human.owl#NCI_C12245, 50
human, http://human.owl#NCI_C33409, 31
human, http://human.owl#NCI_C49782, 5
human, http://human.owl#NCI_C33709, 6
human, http://human.owl#NCI_C32629, 12
human, http://human.owl#NCI_C32456, 10
human, http://human.owl#NCI_C12408, 41
human, http://human.owl#NCI_C12398, 9
human, http://human.owl#NCI_C33008, 5
human, http://human.owl#NCI_C13104, 9
human, http://human.owl#NCI_C12337, 14
human, http://human.owl#NCI_C32739, 3
human, http://human.owl#NCI_C13063, 41
human, http://human.owl#NCI_C33284, 4
human, http://human.owl#NCI_C33841, 4
human, http://human.owl#NCI_C52758, 3
human, http://human.owl#NCI_C12906, 4
human, http://human.owl#NCI_C53031, 96
human, http://human.owl#NCI_C12840, 12
human, http://human.owl#NCI_C33779, 11
human, http://human.owl#NCI_C32102, 10
human, http://human.owl#NCI_C33394, 16
human, http://human.owl#NCI_C33557, 25
human, http://human.owl#NCI_C26454, 13
human, http://human.owl#NCI_C52590, 27
human, http://human.owl#NCI_C13018, 119
human, http://human.owl#NCI_C32347, 84
human, http://human.owl#NCI_C33486, 4
human, http://human.owl#NCI_C33229, 74
human, http://human.owl#NCI_C13826, 11
human, http://human.owl#NCI_C12228, 13
human, http://human.owl#NCI_C32276, 8
human, http://human.owl#NCI_C13181, 10
human, http://human.owl#NCI_C12616, 6
human, http://human.owl#NCI_C32559, 83
human, http://human.owl#NCI_C33114, 24
human, http://human.owl#NCI_C12726, 43
human, http://human.owl#NCI_C33897, 11
human, http://human.owl#NCI_C33377, 4
human, http://human.owl#NCI_C12770, 25
human, http://human.owl#NCI_C32402, 33
human, http://human.owl#NCI_C13095, 7
human, http://human.owl#NCI_C12311, 39
human, http://human.owl#NCI_C41439, 15
human, http://human.owl#NCI_C28187, 74
human, http://human.owl#NCI_C33049, 34
human, http://human.owl#NCI_C12329, 41
human, http://human.owl#NCI_C33543, 10
human, http://human.owl#NCI_C12678, 41
human, http://human.owl#NCI_C13004, 25
human, http://human.owl#NCI_C32047, 33
human, http://human.owl#NCI_C33850, 84
human, http://human.owl#NCI_C32379, 8
human, http://human.owl#NCI_C33215, 20
human, http://human.owl#NCI_C52841, 8
human, http://human.owl#NCI_C32143, 6
human, http://human.owl#NCI_C49331, 4
human, http://human.owl#NCI_C32157, 33
human, http://human.owl#NCI_C32880, 3
human, http://human.owl#NCI_C32941, 6
human, http://human.owl#NCI_C32708, 10
human, http://human.owl#NCI_C32990, 4
human, http://human.owl#NCI_C33805, 108
human, http://human.owl#NCI_C32222, 13
human, http://human.owl#NCI_C12631, 8
human, http://human.owl#NCI_C32804, 29
human, http://human.owl#NCI_C32818, 4
human, http://human.owl#NCI_C52776, 9
human, http://human.owl#NCI_C32332, 4
human, http://human.owl#NCI_C33292, 6
human, http://human.owl#NCI_C49245, 13
human, http://human.owl#NCI_C33363, 7
human, http://human.owl#NCI_C33106, 33
human, http://human.owl#NCI_C32568, 4
human, http://human.owl#NCI_C52554, 14
human, http://human.owl#NCI_C12435, 20
human, http://human.owl#NCI_C33670, 4
human, http://human.owl#NCI_C32837, 30
human, http://human.owl#NCI_C12449, 153
human, http://human.owl#NCI_C49309, 31
human, http://human.owl#NCI_C13131, 5
human, http://human.owl#NCI_C33780, 8
human, http://human.owl#NCI_C49268, 9
human, http://human.owl#NCI_C53175, 108
human, http://human.owl#NCI_C13145, 26
human, http://human.owl#NCI_C33321, 10
human, http://human.owl#NCI_C32929, 35
human, http://human.owl#NCI_C32294, 4
human, http://human.owl#NCI_C33882, 5
human, http://human.owl#NCI_C33068, 8
human, http://human.owl#NCI_C33625, 21
human, http://human.owl#NCI_C12881, 7
human, http://human.owl#NCI_C45572, 6
human, http://human.owl#NCI_C12624, 6
human, http://human.owl#NCI_C33584, 12
human, http://human.owl#NCI_C33178, 13
human, http://human.owl#NCI_C33598, 25
human, http://human.owl#NCI_C32623, 40
human, http://human.owl#NCI_C32450, 6
human, http://human.owl#NCI_C12392, 41
human, http://human.owl#NCI_C12734, 27
human, http://human.owl#NCI_C13059, 20
human, http://human.owl#NCI_C32388, 40
human, http://human.owl#NCI_C53078, 108
human, http://human.owl#NCI_C33729, 14
human, http://human.owl#NCI_C32149, 10
human, http://human.owl#NCI_C32733, 6
human, http://human.owl#NCI_C52762, 14
human, http://human.owl#NCI_C32886, 39
human, http://human.owl#NCI_C52925, 108
human, http://human.owl#NCI_C33507, 33
human, http://human.owl#NCI_C33021, 6
human, http://human.owl#NCI_C13124, 21
human, http://human.owl#NCI_C12900, 5
human, http://human.owl#NCI_C12538, 6
human, http://human.owl#NCI_C25762, 78
human, http://human.owl#NCI_C33773, 10
human, http://human.owl#NCI_C41266, 9
human, http://human.owl#NCI_C38729, 21
human, http://human.owl#NCI_C32996, 89
human, http://human.owl#NCI_C13234, 25
human, http://human.owl#NCI_C53051, 96
human, http://human.owl#NCI_C32051, 44
human, http://human.owl#NCI_C32107, 65
human, http://human.owl#NCI_C13012, 7
human, http://human.owl#NCI_C53161, 22
human, http://human.owl#NCI_C32161, 25
human, http://human.owl#NCI_C12232, 50
human, http://human.owl#NCI_C32915, 153
human, http://human.owl#NCI_C33223, 61
human, http://human.owl#NCI_C32443, 24
human, http://human.owl#NCI_C33611, 4
human, http://human.owl#NCI_C32712, 6
human, http://human.owl#NCI_C12610, 10
human, http://human.owl#NCI_C52997, 77
human, http://human.owl#NCI_C32553, 6
human, http://human.owl#NCI_C12495, 49
human, http://human.owl#NCI_C49209, 12
human, http://human.owl#NCI_C12420, 50
human, http://human.owl#NCI_C32822, 80
human, http://human.owl#NCI_C52745, 4
human, http://human.owl#NCI_C38340, 21
human, http://human.owl#NCI_C52699, 4
human, http://human.owl#NCI_C12720, 11
human, http://human.owl#NCI_C39573, 13
human, http://human.owl#NCI_C32064, 39
human, http://human.owl#NCI_C33888, 49
human, http://human.owl#NCI_C33891, 74
human, http://human.owl#NCI_C49253, 19
human, http://human.owl#NCI_C52855, 77
human, http://human.owl#NCI_C53029, 96
human, http://human.owl#NCI_C39609, 4
human, http://human.owl#NCI_C32872, 4
human, http://human.owl#NCI_C12983, 30
human, http://human.owl#NCI_C12453, 4
human, http://human.owl#NCI_C52911, 108
human, http://human.owl#NCI_C32615, 10
human, http://human.owl#NCI_C33053, 22
human, http://human.owl#NCI_C32664, 47
human, http://human.owl#NCI_C52703, 3
human, http://human.owl#NCI_C52950, 108
human, http://human.owl#NCI_C32982, 5
human, http://human.owl#NCI_C12323, 21
human, http://human.owl#NCI_C52888, 108
human, http://human.owl#NCI_C32725, 62
human, http://human.owl#NCI_C32263, 7
human, http://human.owl#NCI_C12831, 8
human, http://human.owl#NCI_C32774, 158
human, http://human.owl#NCI_C12845, 8
human, http://human.owl#NCI_C52813, 20
human, http://human.owl#NCI_C33548, 33
human, http://human.owl#NCI_C32373, 8
human, http://human.owl#NCI_C12356, 157
human, http://human.owl#NCI_C33147, 26
human, http://human.owl#NCI_C12713, 8
human, http://human.owl#NCI_C32940, 13
human, http://human.owl#NCI_C34029, 30
human, http://human.owl#NCI_C49593, 13
human, http://human.owl#NCI_C45702, 6
human, http://human.owl#NCI_C32221, 384
human, http://human.owl#NCI_C32392, 33
human, http://human.owl#NCI_C12219, 229
human, http://human.owl#NCI_C33472, 4
human, http://human.owl#NCI_C32177, 19
human, http://human.owl#NCI_C13172, 21
human, http://human.owl#NCI_C32677, 39
human, http://human.owl#NCI_C13345, 6
human, http://human.owl#NCI_C53167, 22
human, http://human.owl#NCI_C12273, 74
human, http://human.owl#NCI_C52716, 32
human, http://human.owl#NCI_C33737, 6
human, http://human.owl#NCI_C32484, 25
human, http://human.owl#NCI_C52770, 14
human, http://human.owl#NCI_C12651, 13
human, http://human.owl#NCI_C33666, 18
human, http://human.owl#NCI_C32594, 61
human, http://human.owl#NCI_C12665, 16
human, http://human.owl#NCI_C33430, 25
human, http://human.owl#NCI_C38332, 18
human, http://human.owl#NCI_C48939, 14
human, http://human.owl#NCI_C12426, 33
human, http://human.owl#NCI_C33368, 6
human, http://human.owl#NCI_C53125, 4
human, http://human.owl#NCI_C12934, 32
human, http://human.owl#NCI_C12761, 16
human, http://human.owl#NCI_C33202, 7
human, http://human.owl#NCI_C32130, 13
human, http://human.owl#NCI_C12775, 8
human, http://human.owl#NCI_C49779, 96
human, http://human.owl#NCI_C32933, 34
human, http://human.owl#NCI_C32760, 5
human, http://human.owl#NCI_C49586, 16
human, http://human.owl#NCI_C32503, 44
human, http://human.owl#NCI_C33312, 39
human, http://human.owl#NCI_C49329, 13
human, http://human.owl#NCI_C12286, 5
human, http://human.owl#NCI_C33062, 5
human, http://human.owl#NCI_C32497, 33
human, http://human.owl#NCI_C12579, 8
human, http://human.owl#NCI_C52709, 7
human, http://human.owl#NCI_C32038, 6
human, http://human.owl#NCI_C33838, 4
human, http://human.owl#NCI_C43249, 5
human, http://human.owl#NCI_C12388, 84
human, http://human.owl#NCI_C12837, 74
human, http://human.owl#NCI_C33172, 13
human, http://human.owl#NCI_C13275, 10
human, http://human.owl#NCI_C32092, 7
human, http://human.owl#NCI_C32148, 8
human, http://human.owl#NCI_C12947, 6
human, http://human.owl#NCI_C13053, 20
human, http://human.owl#NCI_C33423, 5
human, http://human.owl#NCI_C33723, 14
human, http://human.owl#NCI_C12754, 14
human, http://human.owl#NCI_C33007, 4
human, http://human.owl#NCI_C32213, 24
human, http://human.owl#NCI_C32946, 16
human, http://human.owl#NCI_C43424, 13
human, http://human.owl#NCI_C33533, 21
human, http://human.owl#NCI_C49599, 6
human, http://human.owl#NCI_C32227, 81
human, http://human.owl#NCI_C32753, 7
human, http://human.owl#NCI_C12532, 8
human, http://human.owl#NCI_C32580, 44
human, http://human.owl#NCI_C32809, 50
human, http://human.owl#NCI_C12341, 26
human, http://human.owl#NCI_C13178, 8
human, http://human.owl#NCI_C32337, 17
human, http://human.owl#NCI_C12279, 50
human, http://human.owl#NCI_C12920, 4
human, http://human.owl#NCI_C52560, 108
human, http://human.owl#NCI_C33658, 14
human, http://human.owl#NCI_C33151, 6
human, http://human.owl#NCI_C12657, 14
human, http://human.owl#NCI_C52670, 50
human, http://human.owl#NCI_C49294, 4
human, http://human.owl#NCI_C33165, 13
human, http://human.owl#NCI_C49315, 8
human, http://human.owl#NCI_C33436, 4
human, http://human.owl#NCI_C48257, 39
human, http://human.owl#NCI_C32656, 26
human, http://human.owl#NCI_C12767, 12
human, http://human.owl#NCI_C33243, 4
human, http://human.owl#NCI_C53000, 8
human, http://human.owl#NCI_C33490, 6
human, http://human.owl#NCI_C12308, 39
human, http://human.owl#NCI_C32766, 10
human, http://human.owl#NCI_C32280, 16
human, http://human.owl#NCI_C12872, 5
human, http://human.owl#NCI_C33353, 24
human, http://human.owl#NCI_C52805, 7
human, http://human.owl#NCI_C32509, 9
human, http://human.owl#NCI_C12615, 14
human, http://human.owl#NCI_C13399, 7
human, http://human.owl#NCI_C32573, 11
human, http://human.owl#NCI_C32316, 44
human, http://human.owl#NCI_C12982, 25
human, http://human.owl#NCI_C39613, 3
human, http://human.owl#NCI_C32084, 18
human, http://human.owl#NCI_C33386, 5
human, http://human.owl#NCI_C32098, 6
human, http://human.owl#NCI_C49273, 6
human, http://human.owl#NCI_C13045, 5
human, http://human.owl#NCI_C32877, 6
human, http://human.owl#NCI_C52916, 108
human, http://human.owl#NCI_C12265, 84
human, http://human.owl#NCI_C33429, 44
human, http://human.owl#NCI_C33256, 4
human, http://human.owl#NCI_C25774, 10
human, http://human.owl#NCI_C12822, 52
human, http://human.owl#NCI_C48358, 35
human, http://human.owl#NCI_C13129, 10
human, http://human.owl#NCI_C32476, 8
human, http://human.owl#NCI_C33778, 10
human, http://human.owl#NCI_C32987, 6
human, http://human.owl#NCI_C52970, 77
human, http://human.owl#NCI_C32219, 10
human, http://human.owl#NCI_C33539, 9
human, http://human.owl#NCI_C32268, 18
human, http://human.owl#NCI_C12357, 74
human, http://human.owl#NCI_C32759, 3
human, http://human.owl#NCI_C32586, 6
human, http://human.owl#NCI_C32329, 153
human, http://human.owl#NCI_C33289, 49
human, http://human.owl#NCI_C12682, 7
human, http://human.owl#NCI_C32378, 25
human, http://human.owl#NCI_C49760, 16
human, http://human.owl#NCI_C33917, 24
human, http://human.owl#NCI_C12223, 52
human, http://human.owl#NCI_C12467, 6
human, http://human.owl#NCI_C32434, 24
human, http://human.owl#NCI_C12718, 18
human, http://human.owl#NCI_C52720, 3
human, http://human.owl#NCI_C12486, 19
human, http://human.owl#NCI_C32717, 31
human, http://human.owl#NCI_C32544, 8
human, http://human.owl#NCI_C13038, 40
human, http://human.owl#NCI_C32697, 5
human, http://human.owl#NCI_C52736, 4
human, http://human.owl#NCI_C47809, 11
human, http://human.owl#NCI_C53006, 108
human, http://human.owl#NCI_C52983, 77
human, http://human.owl#NCI_C12425, 50
human, http://human.owl#NCI_C33660, 8
human, http://human.owl#NCI_C32827, 5
human, http://human.owl#NCI_C33879, 40
human, http://human.owl#NCI_C45804, 74
human, http://human.owl#NCI_C33372, 13
human, http://human.owl#NCI_C52790, 8
human, http://human.owl#NCI_C49244, 8
human, http://human.owl#NCI_C12878, 28
human, http://human.owl#NCI_C52846, 19
human, http://human.owl#NCI_C33359, 25
human, http://human.owl#NCI_C33464, 13
human, http://human.owl#NCI_C33207, 153
human, http://human.owl#NCI_C49580, 4
human, http://human.owl#NCI_C12600, 4
